local_datetime,settlementPeriod,quantity
2021-01-01 00:00:00+00:00,1,25357
2021-01-01 00:30:00+00:00,2,25375
2021-01-01 01:00:00+00:00,3,25187
2021-01-01 01:30:00+00:00,4,25035
2021-01-01 02:00:00+00:00,5,25095
2021-01-01 02:30:00+00:00,6,24931
2021-01-01 03:00:00+00:00,7,24701
2021-01-01 03:30:00+00:00,8,24472
2021-01-01 04:00:00+00:00,9,24219
2021-01-01 04:30:00+00:00,10,23882
2021-01-01 05:00:00+00:00,11,23727
2021-01-01 05:30:00+00:00,12,23683
2021-01-01 06:00:00+00:00,13,23870
2021-01-01 06:30:00+00:00,14,24185
2021-01-01 07:00:00+00:00,15,24818
2021-01-01 07:30:00+00:00,16,25181
2021-01-01 08:00:00+00:00,17,25948
2021-01-01 08:30:00+00:00,18,27149
2021-01-01 09:00:00+00:00,19,28513
2021-01-01 09:30:00+00:00,20,29705
2021-01-01 10:00:00+00:00,21,31320
2021-01-01 10:30:00+00:00,22,32051
2021-01-01 11:00:00+00:00,23,33032
2021-01-01 11:30:00+00:00,24,33676
2021-01-01 12:00:00+00:00,25,34128
2021-01-01 12:30:00+00:00,26,34421
2021-01-01 13:00:00+00:00,27,34438
2021-01-01 13:30:00+00:00,28,34276
2021-01-01 14:00:00+00:00,29,34158
2021-01-01 14:30:00+00:00,30,34262
2021-01-01 15:00:00+00:00,31,34979
2021-01-01 15:30:00+00:00,32,35712
2021-01-01 16:00:00+00:00,33,36447
2021-01-01 16:30:00+00:00,34,36675
2021-01-01 17:00:00+00:00,35,36935
2021-01-01 17:30:00+00:00,36,36854
2021-01-01 18:00:00+00:00,37,36536
2021-01-01 18:30:00+00:00,38,36208
2021-01-01 19:00:00+00:00,39,34903
2021-01-01 19:30:00+00:00,40,33793
2021-01-01 20:00:00+00:00,41,32965
2021-01-01 20:30:00+00:00,42,32277
2021-01-01 21:00:00+00:00,43,30783
2021-01-01 21:30:00+00:00,44,29235
2021-01-01 22:00:00+00:00,45,28265
2021-01-01 22:30:00+00:00,46,26947
2021-01-01 23:00:00+00:00,47,25330
2021-01-01 23:30:00+00:00,48,24095
2021-01-02 00:00:00+00:00,1,25126
2021-01-02 00:30:00+00:00,2,24692
2021-01-02 01:00:00+00:00,3,24294
2021-01-02 01:30:00+00:00,4,24371
2021-01-02 02:00:00+00:00,5,24451
2021-01-02 02:30:00+00:00,6,24412
2021-01-02 03:00:00+00:00,7,23633
