local_datetime,settlementPeriod,imbalanceQuantityMAW
2020-01-03 16:30:00+00:00,34,281.8808
2020-01-03 17:00:00+00:00,35,482.2673
2020-01-03 17:30:00+00:00,36,385.2505
2020-01-03 18:00:00+00:00,37,261.6235
2020-01-03 18:30:00+00:00,38,-49.7254
2020-01-03 19:00:00+00:00,39,-70.7426
2020-01-03 19:30:00+00:00,40,-149.2951
2020-01-03 20:00:00+00:00,41,-179.6994
2020-01-03 20:30:00+00:00,42,-101.4538
2020-01-03 21:00:00+00:00,43,58.6119
2020-01-03 21:30:00+00:00,44,-88.1152
2020-01-03 22:00:00+00:00,45,-30.6768
2020-01-03 22:30:00+00:00,46,-35.3633
2020-01-03 23:00:00+00:00,47,24.5786
2020-01-03 23:30:00+00:00,48,457.3566
2020-01-04 00:00:00+00:00,1,-313.92
2020-01-04 00:30:00+00:00,2,26.1761
2020-01-04 01:00:00+00:00,3,-36.2255
2020-01-04 01:30:00+00:00,4,-541.5441
2020-01-04 02:00:00+00:00,5,-385.2417
2020-01-04 02:30:00+00:00,6,-355.3662
2020-01-04 03:00:00+00:00,7,-99.6788
2020-01-04 03:30:00+00:00,8,-139.5443
2020-01-04 04:00:00+00:00,9,-29.9579
2020-01-04 04:30:00+00:00,10,-78.7552
2020-01-04 05:00:00+00:00,11,-446.3348
2020-01-04 05:30:00+00:00,12,-350.1305
2020-01-04 06:00:00+00:00,13,-571.8575
2020-01-04 06:30:00+00:00,14,-402.7577
2020-01-04 07:00:00+00:00,15,-770.224
2020-01-04 07:30:00+00:00,16,-379.2769
2020-01-04 08:00:00+00:00,17,-419.8727
2020-01-04 08:30:00+00:00,18,-186.2683
2020-01-04 09:00:00+00:00,19,-359.6292
2020-01-04 09:30:00+00:00,20,-277.7674
2020-01-04 10:00:00+00:00,21,-5.5268
2020-01-04 10:30:00+00:00,22,6.9831
2020-01-04 11:00:00+00:00,23,-199.9082
2020-01-04 11:30:00+00:00,24,-175.5834
2020-01-04 12:00:00+00:00,25,-174.1
2020-01-04 12:30:00+00:00,26,-98.2833
2020-01-04 13:00:00+00:00,27,-186.8361
2020-01-04 13:30:00+00:00,28,-340.6499
2020-01-04 14:00:00+00:00,29,-81.0175
2020-01-04 14:30:00+00:00,30,106.0592
2020-01-04 15:00:00+00:00,31,431.4615
2020-01-04 15:30:00+00:00,32,534.1939
2020-01-04 16:00:00+00:00,33,573.3629
2020-01-04 16:30:00+00:00,34,540.6785
2020-01-04 17:00:00+00:00,35,644.0632
2020-01-04 17:30:00+00:00,36,744.5244
2020-01-04 18:00:00+00:00,37,340.3349
2020-01-04 18:30:00+00:00,38,310.342
2020-01-04 19:00:00+00:00,39,391.0118
2020-01-04 19:30:00+00:00,40,242.1355
2020-01-04 20:00:00+00:00,41,46.6891
2020-01-04 20:30:00+00:00,42,39.4937
2020-01-04 21:00:00+00:00,43,-62.5809
2020-01-04 21:30:00+00:00,44,-247.7319
2020-01-04 22:00:00+00:00,45,-400.2281
2020-01-04 22:30:00+00:00,46,-79.294
2020-01-04 23:00:00+00:00,47,-166.5921
2020-01-04 23:30:00+00:00,48,-406.9726
2020-01-05 00:00:00+00:00,1,-456.4064
2020-01-05 00:30:00+00:00,2,-395.2557
2020-01-05 01:00:00+00:00,3,-64.7857
2020-01-05 01:30:00+00:00,4,-259.0142
2020-01-05 02:00:00+00:00,5,161.7503
2020-01-05 02:30:00+00:00,6,43.2668
2020-01-05 03:00:00+00:00,7,83.7935
2020-01-05 03:30:00+00:00,8,-119.6374
2020-01-05 04:00:00+00:00,9,-174.8938
2020-01-05 04:30:00+00:00,10,-244.2334
2020-01-05 05:00:00+00:00,11,-268.6333
2020-01-05 05:30:00+00:00,12,-172.5864
2020-01-05 06:00:00+00:00,13,15.7527
2020-01-05 06:30:00+00:00,14,168.9393
2020-01-05 07:00:00+00:00,15,-265.4605
2020-01-05 07:30:00+00:00,16,-457.1428
2020-01-05 08:00:00+00:00,17,-613.5026
2020-01-05 08:30:00+00:00,18,-272.5165
2020-01-05 09:00:00+00:00,19,-407.5694
2020-01-05 09:30:00+00:00,20,19.7994
2020-01-05 10:00:00+00:00,21,-177.7117
2020-01-05 10:30:00+00:00,22,35.43
2020-01-05 11:00:00+00:00,23,87.4526
2020-01-05 11:30:00+00:00,24,-203.7841
2020-01-05 12:00:00+00:00,25,-119.1249
2020-01-05 12:30:00+00:00,26,159.7938
2020-01-05 13:00:00+00:00,27,247.4961
2020-01-05 13:30:00+00:00,28,442.8533
2020-01-05 14:00:00+00:00,29,372.5291
2020-01-05 14:30:00+00:00,30,184.6001
2020-01-05 15:00:00+00:00,31,83.4527
2020-01-05 15:30:00+00:00,32,332.5932
2020-01-05 16:00:00+00:00,33,394.0581
2020-01-05 16:30:00+00:00,34,344.6255
2020-01-05 17:00:00+00:00,35,800.3909
2020-01-05 17:30:00+00:00,36,532.3584
2020-01-05 18:00:00+00:00,37,570.5514
2020-01-05 18:30:00+00:00,38,193.2328
2020-01-05 19:00:00+00:00,39,-179.6833
2020-01-05 19:30:00+00:00,40,-634.3369
2020-01-05 20:00:00+00:00,41,-472.2835
2020-01-05 20:30:00+00:00,42,-397.6553
2020-01-05 21:00:00+00:00,43,-358.3549
2020-01-05 21:30:00+00:00,44,-604.6268
2020-01-05 22:00:00+00:00,45,-284.0446
2020-01-05 22:30:00+00:00,46,-386.9496
2020-01-05 23:00:00+00:00,47,89.3896
2020-01-05 23:30:00+00:00,48,-413.6891
2020-01-06 00:00:00+00:00,1,-118.9132
2020-01-06 00:30:00+00:00,2,24.4513
2020-01-06 01:00:00+00:00,3,206.7908
2020-01-06 01:30:00+00:00,4,131.1667
2020-01-06 02:00:00+00:00,5,-223.4672
2020-01-06 02:30:00+00:00,6,-426.2146
2020-01-06 03:00:00+00:00,7,-586.4613
2020-01-06 03:30:00+00:00,8,-793.4668
2020-01-06 04:00:00+00:00,9,-657.6912
2020-01-06 04:30:00+00:00,10,-552.1705
2020-01-06 05:00:00+00:00,11,-597.6849
2020-01-06 05:30:00+00:00,12,-494.0463
2020-01-06 06:00:00+00:00,13,-154.2702
2020-01-06 06:30:00+00:00,14,59.1906
2020-01-06 07:00:00+00:00,15,-212.6709
2020-01-06 07:30:00+00:00,16,-90.0497
2020-01-06 08:00:00+00:00,17,55.1473
2020-01-06 08:30:00+00:00,18,-28.4416
2020-01-06 09:00:00+00:00,19,107.737
2020-01-06 09:30:00+00:00,20,215.1511
2020-01-06 10:00:00+00:00,21,50.0857
2020-01-06 10:30:00+00:00,22,78.517
2020-01-06 11:00:00+00:00,23,-31.2128
2020-01-06 11:30:00+00:00,24,21.0332
2020-01-06 12:00:00+00:00,25,-17.825
2020-01-06 12:30:00+00:00,26,66.3398
2020-01-06 13:00:00+00:00,27,243.4289
2020-01-06 13:30:00+00:00,28,142.269
2020-01-06 14:00:00+00:00,29,366.7172
2020-01-06 14:30:00+00:00,30,487.086
2020-01-06 15:00:00+00:00,31,245.4352
2020-01-06 15:30:00+00:00,32,563.3736
2020-01-06 16:00:00+00:00,33,215.5886
2020-01-06 16:30:00+00:00,34,396.0839
2020-01-06 17:00:00+00:00,35,262.8264
2020-01-06 17:30:00+00:00,36,185.5298
2020-01-06 18:00:00+00:00,37,284.262
2020-01-06 18:30:00+00:00,38,145.4117
2020-01-06 19:00:00+00:00,39,15.3057
2020-01-06 19:30:00+00:00,40,8.6676
2020-01-06 20:00:00+00:00,41,-159.4741
2020-01-06 20:30:00+00:00,42,155.7356
2020-01-06 21:00:00+00:00,43,498.1633
2020-01-06 21:30:00+00:00,44,501.094
2020-01-06 22:00:00+00:00,45,265.7093
2020-01-06 22:30:00+00:00,46,-113.0278
2020-01-06 23:00:00+00:00,47,-482.5257
2020-01-06 23:30:00+00:00,48,-740.9275
2020-01-07 00:00:00+00:00,1,-503.8538
