local_datetime,settlementPeriod,quantity
2020-01-01 00:00:00+00:00,1,30675
2020-01-01 00:30:00+00:00,2,31260
2020-01-01 01:00:00+00:00,3,30972
2020-01-01 01:30:00+00:00,4,30110
2020-01-01 02:00:00+00:00,5,29344
2020-01-01 02:30:00+00:00,6,28382
2020-01-01 03:00:00+00:00,7,26568
2020-01-01 03:30:00+00:00,8,25784
2020-01-01 04:00:00+00:00,9,24625
2020-01-01 04:30:00+00:00,10,24116
2020-01-01 05:00:00+00:00,11,24589
2020-01-01 05:30:00+00:00,12,24791
2020-01-01 06:00:00+00:00,13,26641
2020-01-01 06:30:00+00:00,14,27119
2020-01-01 07:00:00+00:00,15,28120
2020-01-01 07:30:00+00:00,16,28563
2020-01-01 08:00:00+00:00,17,29278
2020-01-01 08:30:00+00:00,18,30156
2020-01-01 09:00:00+00:00,19,31512
2020-01-01 09:30:00+00:00,20,33288
2020-01-01 10:00:00+00:00,21,34837
2020-01-01 10:30:00+00:00,22,35646
2020-01-01 11:00:00+00:00,23,36883
2020-01-01 11:30:00+00:00,24,37761
2020-01-01 12:00:00+00:00,25,38572
2020-01-01 12:30:00+00:00,26,38944
2020-01-01 13:00:00+00:00,27,39196
2020-01-01 13:30:00+00:00,28,39205
2020-01-01 14:00:00+00:00,29,39425
2020-01-01 14:30:00+00:00,30,39444
2020-01-01 15:00:00+00:00,31,39782
2020-01-01 15:30:00+00:00,32,40569
2020-01-01 16:00:00+00:00,33,41606
2020-01-01 16:30:00+00:00,34,42890
2020-01-01 17:00:00+00:00,35,43366
2020-01-01 17:30:00+00:00,36,43165
2020-01-01 18:00:00+00:00,37,41390
2020-01-01 18:30:00+00:00,38,40629
2020-01-01 19:00:00+00:00,39,39727
2020-01-01 19:30:00+00:00,40,38772
2020-01-01 20:00:00+00:00,41,38206
2020-01-01 20:30:00+00:00,42,37071
2020-01-01 21:00:00+00:00,43,35403
2020-01-01 21:30:00+00:00,44,33784
2020-01-01 22:00:00+00:00,45,31248
2020-01-01 22:30:00+00:00,46,29954
2020-01-01 23:00:00+00:00,47,28044
2020-01-01 23:30:00+00:00,48,26931
2020-01-02 00:00:00+00:00,1,26841
2020-01-02 00:30:00+00:00,2,27087
2020-01-02 01:00:00+00:00,3,26066
2020-01-02 01:30:00+00:00,4,24825
2020-01-02 02:00:00+00:00,5,23141
2020-01-02 02:30:00+00:00,6,22473
2020-01-02 03:00:00+00:00,7,21400
2020-01-02 03:30:00+00:00,8,20662
2020-01-02 04:00:00+00:00,9,19798
2020-01-02 04:30:00+00:00,10,19855
2020-01-02 05:00:00+00:00,11,21247
2020-01-02 05:30:00+00:00,12,22474
2020-01-02 06:00:00+00:00,13,25222
2020-01-02 06:30:00+00:00,14,27060
2020-01-02 07:00:00+00:00,15,29527
2020-01-02 07:30:00+00:00,16,31104
2020-01-02 08:00:00+00:00,17,33126
2020-01-02 08:30:00+00:00,18,34532
2020-01-02 09:00:00+00:00,19,37207
2020-01-02 09:30:00+00:00,20,38024
2020-01-02 10:00:00+00:00,21,38725
2020-01-02 10:30:00+00:00,22,39072
2020-01-02 11:00:00+00:00,23,39910
2020-01-02 11:30:00+00:00,24,40204
2020-01-02 12:00:00+00:00,25,40883
2020-01-02 12:30:00+00:00,26,40872
2020-01-02 13:00:00+00:00,27,40270
2020-01-02 13:30:00+00:00,28,39996
2020-01-02 14:00:00+00:00,29,40328
2020-01-02 14:30:00+00:00,30,40548
2020-01-02 15:00:00+00:00,31,40562
2020-01-02 15:30:00+00:00,32,40830
2020-01-02 16:00:00+00:00,33,44518
2020-01-02 16:30:00+00:00,34,45845
2020-01-02 17:00:00+00:00,35,46942
2020-01-02 17:30:00+00:00,36,46631
2020-01-02 18:00:00+00:00,37,44569
2020-01-02 18:30:00+00:00,38,43293
2020-01-02 19:00:00+00:00,39,43313
2020-01-02 19:30:00+00:00,40,42204
2020-01-02 20:00:00+00:00,41,40953
2020-01-02 20:30:00+00:00,42,39383
2020-01-02 21:00:00+00:00,43,36763
2020-01-02 21:30:00+00:00,44,34715
2020-01-02 22:00:00+00:00,45,31283
2020-01-02 22:30:00+00:00,46,29884
2020-01-02 23:00:00+00:00,47,27967
2020-01-02 23:30:00+00:00,48,26767
2020-01-03 00:00:00+00:00,1,26002
2020-01-03 00:30:00+00:00,2,26412
2020-01-03 01:00:00+00:00,3,25557
2020-01-03 01:30:00+00:00,4,24598
2020-01-03 02:00:00+00:00,5,24372
2020-01-03 02:30:00+00:00,6,24055
2020-01-03 03:00:00+00:00,7,24173
2020-01-03 03:30:00+00:00,8,23874
2020-01-03 04:00:00+00:00,9,23165
2020-01-03 04:30:00+00:00,10,23224
2020-01-03 05:00:00+00:00,11,24841
2020-01-03 05:30:00+00:00,12,26045
2020-01-03 06:00:00+00:00,13,30268
2020-01-03 06:30:00+00:00,14,31857
2020-01-03 07:00:00+00:00,15,34636
2020-01-03 07:30:00+00:00,16,36340
2020-01-03 08:00:00+00:00,17,38143
2020-01-03 08:30:00+00:00,18,39492
2020-01-03 09:00:00+00:00,19,41014
2020-01-03 09:30:00+00:00,20,41581
2020-01-03 10:00:00+00:00,21,41282
2020-01-03 10:30:00+00:00,22,41412
2020-01-03 11:00:00+00:00,23,42282
2020-01-03 11:30:00+00:00,24,42811
2020-01-03 12:00:00+00:00,25,43042
2020-01-03 12:30:00+00:00,26,42699
2020-01-03 13:00:00+00:00,27,42910
2020-01-03 13:30:00+00:00,28,42461
2020-01-03 14:00:00+00:00,29,42455
2020-01-03 14:30:00+00:00,30,42163
2020-01-03 15:00:00+00:00,31,42456
2020-01-03 15:30:00+00:00,32,42955
2020-01-03 16:00:00+00:00,33,44269
2020-01-03 16:30:00+00:00,34,46433
2020-01-03 17:00:00+00:00,35,46976
2020-01-03 17:30:00+00:00,36,46656
2020-01-03 18:00:00+00:00,37,46240
2020-01-03 18:30:00+00:00,38,45707
2020-01-03 19:00:00+00:00,39,45197
2020-01-03 19:30:00+00:00,40,44059
2020-01-03 20:00:00+00:00,41,42705
2020-01-03 20:30:00+00:00,42,41065
2020-01-03 21:00:00+00:00,43,38103
2020-01-03 21:30:00+00:00,44,36320
2020-01-03 22:00:00+00:00,45,33988
