local_datetime,settlementPeriod,imbalanceQuantityMAW
2021-01-01 00:00:00+00:00,1,843.6931
2021-01-01 00:30:00+00:00,2,934.582
2021-01-01 01:00:00+00:00,3,604.7328
2021-01-01 01:30:00+00:00,4,307.3387
2021-01-01 02:00:00+00:00,5,48.8845
2021-01-01 02:30:00+00:00,6,-48.8836
2021-01-01 03:00:00+00:00,7,55.1088
2021-01-01 03:30:00+00:00,8,119.0057
2021-01-01 04:00:00+00:00,9,74.6436
2021-01-01 04:30:00+00:00,10,-66.1921
2021-01-01 05:00:00+00:00,11,-43.2516
2021-01-01 05:30:00+00:00,12,-74.2508
2021-01-01 06:00:00+00:00,13,-4.3956
2021-01-01 06:30:00+00:00,14,-79.5779
2021-01-01 07:00:00+00:00,15,-417.9714
2021-01-01 07:30:00+00:00,16,-437.5628
2021-01-01 08:00:00+00:00,17,-338.6848
2021-01-01 08:30:00+00:00,18,-171.3483
2021-01-01 09:00:00+00:00,19,33.9254
2021-01-01 09:30:00+00:00,20,-109.3803
2021-01-01 10:00:00+00:00,21,-156.8949
2021-01-01 10:30:00+00:00,22,-246.3317
2021-01-01 11:00:00+00:00,23,120.9018
2021-01-01 11:30:00+00:00,24,174.1214
2021-01-01 12:00:00+00:00,25,228.4377
2021-01-01 12:30:00+00:00,26,20.8445
2021-01-01 13:00:00+00:00,27,186.5301
2021-01-01 13:30:00+00:00,28,472.0539
2021-01-01 14:00:00+00:00,29,398.1151
2021-01-01 14:30:00+00:00,30,296.7638
2021-01-01 15:00:00+00:00,31,190.8072
2021-01-01 15:30:00+00:00,32,242.483
2021-01-01 16:00:00+00:00,33,91.9756
2021-01-01 16:30:00+00:00,34,663.3975
2021-01-01 17:00:00+00:00,35,1019.1401
2021-01-01 17:30:00+00:00,36,922.1682
2021-01-01 18:00:00+00:00,37,662.2742
2021-01-01 18:30:00+00:00,38,385.7169
2021-01-01 19:00:00+00:00,39,585.7306
2021-01-01 19:30:00+00:00,40,299.7167
2021-01-01 20:00:00+00:00,41,183.8468
2021-01-01 20:30:00+00:00,42,135.2547
2021-01-01 21:00:00+00:00,43,271.9311
2021-01-01 21:30:00+00:00,44,-7.1845
2021-01-01 22:00:00+00:00,45,-90.2422
2021-01-01 22:30:00+00:00,46,94.5672
2021-01-01 23:00:00+00:00,47,-312.2315
2021-01-01 23:30:00+00:00,48,-83.0485
2021-01-02 00:00:00+00:00,1,-42.416
2021-01-02 00:30:00+00:00,2,158.7922
2021-01-02 01:00:00+00:00,3,219.6084
2021-01-02 01:30:00+00:00,4,128.9749
2021-01-02 02:00:00+00:00,5,-133.9352
2021-01-02 02:30:00+00:00,6,-271.3299
2021-01-02 03:00:00+00:00,7,104.092
2021-01-02 03:30:00+00:00,8,93.798
2021-01-02 04:00:00+00:00,9,236.0108
2021-01-02 04:30:00+00:00,10,92.8785
2021-01-02 05:00:00+00:00,11,215.3802
2021-01-02 05:30:00+00:00,12,110.1255
2021-01-02 06:00:00+00:00,13,-93.2913
2021-01-02 06:30:00+00:00,14,-32.9587
2021-01-02 07:00:00+00:00,15,-83.2438
2021-01-02 07:30:00+00:00,16,-276.9151
2021-01-02 08:00:00+00:00,17,-303.0871
2021-01-02 08:30:00+00:00,18,-129.0426
2021-01-02 09:00:00+00:00,19,-191.2833
2021-01-02 09:30:00+00:00,20,-237.026
2021-01-02 10:00:00+00:00,21,-212.0667
2021-01-02 10:30:00+00:00,22,-14.198
2021-01-02 11:00:00+00:00,23,-60.9053
2021-01-02 11:30:00+00:00,24,105.1648
2021-01-02 12:00:00+00:00,25,479.8661
2021-01-02 12:30:00+00:00,26,463.96
2021-01-02 13:00:00+00:00,27,422.7979
2021-01-02 13:30:00+00:00,28,257.0737
2021-01-02 14:00:00+00:00,29,112.6584
2021-01-02 14:30:00+00:00,30,-173.6526
2021-01-02 15:00:00+00:00,31,-25.9968
2021-01-02 15:30:00+00:00,32,98.7255
2021-01-02 16:00:00+00:00,33,175.8801
2021-01-02 16:30:00+00:00,34,501.9032
2021-01-02 17:00:00+00:00,35,572.8512
2021-01-02 17:30:00+00:00,36,568.4083
2021-01-02 18:00:00+00:00,37,246.5333
2021-01-02 18:30:00+00:00,38,-9.4346
2021-01-02 19:00:00+00:00,39,64.7606
2021-01-02 19:30:00+00:00,40,-388.3132
2021-01-02 20:00:00+00:00,41,-224.1864
2021-01-02 20:30:00+00:00,42,-202.1451
2021-01-02 21:00:00+00:00,43,-10.6108
2021-01-02 21:30:00+00:00,44,188.7116
2021-01-02 22:00:00+00:00,45,71.098
2021-01-02 22:30:00+00:00,46,-111.7079
2021-01-02 23:00:00+00:00,47,270.0535
2021-01-02 23:30:00+00:00,48,561.1668
2021-01-03 00:00:00+00:00,1,273.2459
2021-01-03 00:30:00+00:00,2,481.0119
2021-01-03 01:00:00+00:00,3,562.7535
2021-01-03 01:30:00+00:00,4,469.888
