local_datetime,settlementPeriod,imbalancePriceAmountGBP
2021-01-01 00:00:00+00:00,1,73.15
2021-01-01 00:30:00+00:00,2,73.15
2021-01-01 01:00:00+00:00,3,72
2021-01-01 01:30:00+00:00,4,71.9
2021-01-01 02:00:00+00:00,5,71.5
2021-01-01 02:30:00+00:00,6,37.61
2021-01-01 03:00:00+00:00,7,71.5
2021-01-01 03:30:00+00:00,8,69.95
2021-01-01 04:00:00+00:00,9,69.95
2021-01-01 04:30:00+00:00,10,40
2021-01-01 05:00:00+00:00,11,40
2021-01-01 05:30:00+00:00,12,38
2021-01-01 06:00:00+00:00,13,57.78
2021-01-01 06:30:00+00:00,14,29.5
2021-01-01 07:00:00+00:00,15,29.01
2021-01-01 07:30:00+00:00,16,29.01
2021-01-01 08:00:00+00:00,17,29.0736
2021-01-01 08:30:00+00:00,18,6
2021-01-01 09:00:00+00:00,19,71.45
2021-01-01 09:30:00+00:00,20,28
2021-01-01 10:00:00+00:00,21,38
2021-01-01 10:30:00+00:00,22,38
2021-01-01 11:00:00+00:00,23,73
2021-01-01 11:30:00+00:00,24,75
2021-01-01 12:00:00+00:00,25,75
2021-01-01 12:30:00+00:00,26,73
2021-01-01 13:00:00+00:00,27,75
2021-01-01 13:30:00+00:00,28,82.5
2021-01-01 14:00:00+00:00,29,82.5
2021-01-01 14:30:00+00:00,30,82.5
2021-01-01 15:00:00+00:00,31,84.9
2021-01-01 15:30:00+00:00,32,85
2021-01-01 16:00:00+00:00,33,84.9
2021-01-01 16:30:00+00:00,34,87
2021-01-01 17:00:00+00:00,35,94.95
2021-01-01 17:30:00+00:00,36,90
2021-01-01 18:00:00+00:00,37,87
2021-01-01 18:30:00+00:00,38,87
2021-01-01 19:00:00+00:00,39,87
2021-01-01 19:30:00+00:00,40,87
2021-01-01 20:00:00+00:00,41,87
2021-01-01 20:30:00+00:00,42,74.8
2021-01-01 21:00:00+00:00,43,74.8
2021-01-01 21:30:00+00:00,44,39.3
2021-01-01 22:00:00+00:00,45,39.3
2021-01-01 22:30:00+00:00,46,68
2021-01-01 23:00:00+00:00,47,39.2
2021-01-01 23:30:00+00:00,48,39.3
2021-01-02 00:00:00+00:00,1,39.31
2021-01-02 00:30:00+00:00,2,68
2021-01-02 01:00:00+00:00,3,68
2021-01-02 01:30:00+00:00,4,68
2021-01-02 02:00:00+00:00,5,32.77111
2021-01-02 02:30:00+00:00,6,6
2021-01-02 03:00:00+00:00,7,66
2021-01-02 03:30:00+00:00,8,65.95
2021-01-02 04:00:00+00:00,9,66
2021-01-02 04:30:00+00:00,10,65.95
2021-01-02 05:00:00+00:00,11,66
2021-01-02 05:30:00+00:00,12,65.95
2021-01-02 06:00:00+00:00,13,37.17
2021-01-02 06:30:00+00:00,14,39.2
2021-01-02 07:00:00+00:00,15,39.3
2021-01-02 07:30:00+00:00,16,39.2
2021-01-02 08:00:00+00:00,17,39.3
2021-01-02 08:30:00+00:00,18,39.3
2021-01-02 09:00:00+00:00,19,39.3
2021-01-02 09:30:00+00:00,20,39.3
2021-01-02 10:00:00+00:00,21,39.3
2021-01-02 10:30:00+00:00,22,39.55
2021-01-02 11:00:00+00:00,23,39.6
2021-01-02 11:30:00+00:00,24,84.5
2021-01-02 12:00:00+00:00,25,85.92317
2021-01-02 12:30:00+00:00,26,87.2
2021-01-02 13:00:00+00:00,27,85
2021-01-02 13:30:00+00:00,28,75
2021-01-02 14:00:00+00:00,29,74
2021-01-02 14:30:00+00:00,30,40.51
2021-01-02 15:00:00+00:00,31,40.51
2021-01-02 15:30:00+00:00,32,90
2021-01-02 16:00:00+00:00,33,94
2021-01-02 16:30:00+00:00,34,145
2021-01-02 17:00:00+00:00,35,145
2021-01-02 17:30:00+00:00,36,145
2021-01-02 18:00:00+00:00,37,93.5
2021-01-02 18:30:00+00:00,38,41.01
2021-01-02 19:00:00+00:00,39,85
2021-01-02 19:30:00+00:00,40,41.01
2021-01-02 20:00:00+00:00,41,41.01
2021-01-02 20:30:00+00:00,42,41.05
2021-01-02 21:00:00+00:00,43,42
2021-01-02 21:30:00+00:00,44,74
2021-01-02 22:00:00+00:00,45,72.5
2021-01-02 22:30:00+00:00,46,41.7
2021-01-02 23:00:00+00:00,47,72.5
2021-01-02 23:30:00+00:00,48,72.5
2021-01-03 00:00:00+00:00,1,68
2021-01-03 00:30:00+00:00,2,72.5
2021-01-03 01:00:00+00:00,3,72.5
2021-01-03 01:30:00+00:00,4,72.5
2021-01-03 02:00:00+00:00,5,72.4
2021-01-03 02:30:00+00:00,6,68
2021-01-03 03:00:00+00:00,7,62
2021-01-03 03:30:00+00:00,8,6
2021-01-03 04:00:00+00:00,9,6
2021-01-03 04:30:00+00:00,10,6
2021-01-03 05:00:00+00:00,11,68.99
2021-01-03 05:30:00+00:00,12,68.99
2021-01-03 06:00:00+00:00,13,68.99
2021-01-03 06:30:00+00:00,14,68
2021-01-03 07:00:00+00:00,15,20.1
2021-01-03 07:30:00+00:00,16,20.1
2021-01-03 08:00:00+00:00,17,40
2021-01-03 08:30:00+00:00,18,6
2021-01-03 09:00:00+00:00,19,0
